Region,Category,Country,Group,Summary,TSC,Date,Type
EMEA,,Slovakia,Deskside,Reported Issue - Application - OneDrive,Y,16-02-2023,Incident
AP,Email,India,Deskside,Outlook - Outlook update issue,Y,12-09-2022,Incident
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop running slow,Y,17-09-2022,Incident
AM,Network,United States,Deskside,Reported Issue - Network - WiFi,Y,15-09-2022,Incident
EMEA,Network,Spain,Deskside,Reported Issue - Network - Other,Y,16-01-2023,Incident
AP,Windows / OS,Sri Lanka,Deskside,Windows Troubleshooting,Y,27-09-2022,Incident
AM,,India,Deskside,EU Non Encrypted machines,Y,15-12-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,13-09-2022,Incident
AM,M365,United States,Deskside,Reported Issue - Application - Microsoft Office,Y,01-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,15-02-2023,Incident
AM,Hardware,India,Deskside,Hardware Issue - EU Non Encrypted machines,Y,05-10-2022,Incident
AM,Hardware,India,Deskside,Hardware Issue - EU Non Encrypted machines,Y,21-09-2022,Incident
AM,Laptop,United States,Deskside,Michael Hartnett - JLL Hardware Issue - Laptop Loaner required,Y,01-11-2022,Incident
AP,,Singapore,Deskside,Application Issue - Asure Resource Scheduler,Y,03-10-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,15-09-2022,Incident
AM,Access,United States,Deskside,Resource Schedule --  Access issues,Y,11-01-2023,Incident
AM,,United States,Deskside,Excel -  Issues,Y,25-10-2022,Incident
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,25-11-2022,Incident
AP,,India,Deskside,EU Unencrypted Machines July 4 2022,Y,16-02-2023,Incident
AM,Active Directory,United States,Deskside,BAC Compliance Checking at Login,Y,06-09-2022,Incident
AM,Windows / OS,United States,Deskside,"Windows 10 - ""There Are Currently No Power Options Available"" Error",Y,01-09-2022,Incident
AM,Hardware,United States,Deskside,Hardware - Wrong shipping address,Y,21-09-2022,Incident
AM,Laptop,United States,Deskside,URGENT - Hardware Issue - Laptop (access),Y,07-11-2022,Incident
AM,,United States,Deskside,AM - JLL RATA Comply - Update Version 21.1 Admin Assistance - USLILVMPRDSQL16,Y,01-09-2022,Incident
AM,,United States,Deskside,NO CCM INSTALLED AT ALL,Y,21-11-2022,Incident
AM,Network,United States,Deskside,Reported Issue - Network - Other,Y,11-01-2023,Incident
AP,,South Korea,Deskside,Reported Issue - Other / Miscellaneous,Y,01-02-2023,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop screen is cracked / the crack is expanding ,Y,19-10-2022,Incident
AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,22-09-2022,Incident
AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,26-12-2022,Incident
AM,Access,United States,Deskside,Box - Install and access Issue,Y,02-09-2022,Incident
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop HF5R473 to HJ6RXD3 ,Y,20-09-2022,Incident
AM,M365,United States,Deskside, IRV - MS Teams / Telecom  Voice Calling- Issues - Paula Paredes,Y,20-01-2023,Incident
AP,,Australia,Deskside,Application Issue - OneDrive Not Opening,Y,29-11-2022,Incident
AM,,United States,Deskside,Dell docking stations box equipment INC1049111 as reference,Y,14-11-2022,Incident
AM,,Canada,Deskside,JLL Sharepoint Excel File permissions,Y,16-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-11-2022,Incident
AP,Laptop,Australia,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,01-12-2022,Incident
AM,,United States,Deskside,WebEx Meetings - Meeting / Disable the lobby in the personal room,Y,28-09-2022,Incident
AM,,United States,Deskside,Steve Sinisi - Google Chrome - Issues After Update,Y,02-11-2022,Incident
AM,Laptop,United States,Deskside,(Hard-Down) Reported Issue - Hardware - Laptop_Desktop,Y,24-10-2022,Incident
AM,Laptop,United States,Deskside,Donna Whitney-Reported Issue - Hardware - Laptop_Desktop,Y,18-10-2022,Incident
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,28-09-2022,Incident
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident
AP,Email,Bangladesh,Deskside,Email Issues,Y,15-09-2022,Incident
AM,Hardware,United States,Deskside,Hardware Issue - Monitor are not connecting to the Docking station / Monitors are not detected,Y,14-10-2022,Incident
AM,,United States,Deskside,Reported Issue - Application - Alteryx,Y,04-10-2022,Incident
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,08-09-2022,Incident
AM,Laptop,United States,Deskside,Laptop issues - Performance,Y,08-09-2022,Incident
AM,,United States,Deskside,"Tom Bondor - CITRIX Receiver   - Error: ""Account is not configured""",Y,20-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop (Power button),Y,19-09-2022,Incident
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Audio issue,Y,05-09-2022,Incident
AM,,United States,Deskside,Vpn - Disconnect constantly,Y,08-11-2022,Incident
AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,21-09-2022,Incident
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Repair Assistance,Y,22-11-2022,Incident
AM,Laptop,Canada,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,19-09-2022,Incident
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,22-09-2022,Incident
AM,Active Directory,United States,Deskside,Software Issues - IT monitor issues.,Y,16-09-2022,Incident
AM,Hardware,Canada,Deskside,Reported Issue - Hardware - Monitor,Y,05-10-2022,Incident
AM,Laptop,United States,Deskside,Adam Bargar - Hardware Issue - Laptop Battery Issues.,Y,02-11-2022,Incident
AP,,Australia,Deskside,Reported Issue - Application - Adobe Sign,Y,21-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,07-09-2022,Incident
AM,Windows / OS,United States,Deskside,Windows  -  The message still popping up / Hard drive issue,Y,15-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,16-09-2022,Incident
AM,M365,United States,Deskside,Office 365 -License Upgrade.,Y,19-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop (Fan broken),Y,14-10-2022,Incident
AP,M365,India,Deskside,Application Issues,Y,15-09-2022,Incident
AP,,India,Deskside,Application Issues,Y,28-09-2022,Incident
AM,,United States,Deskside,"MULTIPLE FILES NOW SAY CORRUPT IN ONEDRIVE ""JLL Excel File unreadable""",Y,15-09-2022,Incident
AM,Laptop,United States,Deskside,Chris Johnson-JLL Hardware Issue - Laptop Bad Performance - Replacement approval required,Y,05-09-2022,Incident
AM,,United States,Deskside,Reported Issue - Other / Miscellaneous,Y,27-09-2022,Incident
AM,Laptop,United States,Deskside,CapitalMarkets - Replacement Laptop for Producer |  Dell 7420 ST 4M5N5M3 | Deployed,Y,08-09-2022,Incident
AP,,India,Deskside,Application Issues,Y,12-09-2022,Incident
AP,Hardware,India,Deskside,Hardware Troubleshooting,Y,05-09-2022,Incident
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,28-09-2022,Incident
AM,Laptop,United States,Deskside,Software Issues -  New laptop issues.,Y,07-09-2022,Incident
AM,Laptop,United States,Deskside,Tate Wallace - Hardware Issue - Laptop Issues.,Y,02-11-2022,Incident
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,19-10-2022,Incident
AM,Laptop,United States,Deskside,Troy Green - Hardware Issue - Laptop,Y,11-10-2022,Incident
AM,Laptop,United States,Deskside,Nima Govind - Hardware Issue - Laptop keyboard and mouse issues.,Y,02-11-2022,Incident
AM,,United States,Deskside,Reported Issue - Application - Adobe Acrobat Pro,Y,19-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-10-2022,Incident
AP,Laptop,Hong Kong,Deskside,Hardware Issue - Laptop monitor - [Alex],Y,14-09-2022,Incident
AP,,Australia,Deskside,For the site AUPER02(Perth) file server idrac (10.132.24.196) in unavailable.,Y,08-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery Issues.,Y,26-09-2022,Incident
AM,Network,United States,Deskside,Reported Issue - Network - WiFi,Y,17-10-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop / Power Off and Restart options are not available. ,Y,07-09-2022,Incident
AM,Windows / OS,United States,Deskside,Mac - Computer Issues JLLNET2.0 WiFi,Y,14-09-2022,Incident
AM,,Canada,Deskside,Bomgar -  The user's computer does not appear on the system,Y,15-09-2022,Incident
AM,Email,United States,Deskside,JLL Outlook mail search issue,Y,23-09-2022,Incident
AP,Email,Singapore,Deskside,Remove deskside user email,Y,12-09-2022,Incident
AP,,India,Deskside,Application Issues,Y,02-09-2022,Incident
AP,,India,Deskside,Application  issue,Y,02-09-2022,Incident
AM,Laptop,United States,Deskside,Lauren Slonceski - Hardware Issue - Laptop,Y,20-10-2022,Incident
AM,Network,United States,Deskside,Internet - Network connectivity issues,Y,11-12-2022,Incident
AM,Hardware,United States,Deskside,Diane Sierts - Hardware issues - Blue screen ,Y,02-11-2022,Incident
AM,,United States,Deskside,JLL Crowdstrike two unsanctioned EDR solutions - Reimage,Y,16-09-2022,Incident
AM,Hardware,United States,Deskside,Hardware -   06B03 Rio Grande Conference Room is having issues with having issues with speakers,Y,04-10-2022,Incident
AP,,India,Deskside,Hardward Troubleshooting,Y,06-09-2022,Incident
AP,Windows / OS,India,Deskside,Windows Troubleshooting,Y,12-09-2022,Incident
AM,Windows / OS,United States,Deskside,Hardware Issue - Monitor- Computer Issues - Windows Icon / File Explorer,Y,12-10-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop-  Error : Your computer has been infected,Y,29-09-2022,Incident
AM,Email,United States,Deskside,JLL mac device Teams group outlook calendar sync,Y,06-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery.,Y,01-09-2022,Incident
AM,Network,United States,Deskside,Off network issues ,Y,07-09-2022,Incident
AP,Active Directory,Australia,Deskside,Frequent Lock Out,Y,06-09-2022,Incident
AP,Hardware,India,Deskside,Hardware Troubleshooting,Y,13-09-2022,Incident
AM,,United States,Deskside,(STR1) ScanSafe Proxy - Blocked sites information,Y,02-09-2022,Incident
AM,Laptop,Canada,Deskside,Hardware Issue - Laptop,Y,01-12-2022,Incident
AM,,United States,Deskside,Black Screen,Y,02-09-2022,Incident
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop GENERAL issues - Replacement required,Y,01-09-2022,Incident
AM,,United States,Deskside,Bluebeam -  Application issues,Y,20-09-2022,Incident
AM,Laptop,United States,Deskside,Laptop - Audio,Y,17-09-2022,Incident
AP,M365,Hong Kong,Deskside,APAC - Application Issue - Excel function,Y,29-09-2022,Incident
AM,Laptop,United States,Deskside,Jacques Mooney - Hardware Issue - Laptop (Internal system),Y,01-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting - Windows - Laptop Booting to Blank/Black Screen,Y,07-09-2022,Incident
AM,Laptop,United States,Deskside,Laptop Refresh - (Blake Shaffer - Service Tag: 891M0F3,Y,07-09-2022,Incident
AM,,Canada,Deskside,Reported Issue - Other / Miscellaneous,Y,13-09-2022,Incident
AM,Email,United States,Deskside,Kalia Keith - Email - Other reported,Y,13-10-2022,Incident
AM,,United States,Deskside,Hali Voycik - JLL  Bluebeam  Assistance required,Y,02-11-2022,Incident
AM,Email,United States,Deskside,INC1080050 Outlook - Calendar issues,Y,06-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop various (memory and hardware),Y,29-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,09-09-2022,Incident
AM,,United States,Deskside,Adobe Acrobat Pro - Application issues.,Y,01-09-2022,Incident
AM,Laptop,United States,Deskside,Laptop Replacement,Y,07-09-2022,Incident
AP,,Philippines,Deskside,Reported Issue - Application - Excel (desktop),Y,01-09-2022,Incident
AM,Email,United States,Deskside,Email - Outlook not syncing - Application Crashing on MAC computer. ,Y,20-09-2022,Incident
AM,Laptop,United States,Deskside,Doug Rowles - Laptop is freezing up,Y,10-10-2022,Incident
AM,,United States,Deskside,Reported Issue - Server - Other,Y,09-09-2022,Incident
AM,Network,United States,Deskside,Internet - Network connectivity issues,Y,07-11-2022,Incident
AM,Network,Canada,Deskside,Network Account - Off Network Computer Login Issue,Y,20-09-2022,Incident
AM,Hardware,Canada,Deskside,Hardware - Monitor  damaged on arrival,Y,28-10-2022,Incident
AM,M365,United States,Deskside,Microsoft Teams - Audio is not working,Y,21-09-2022,Incident
AM,M365,United States,Deskside,Microsoft Teams - Background issues.,Y,06-09-2022,Incident
AM,,United States,Deskside,Zoom - Issues,Y,05-09-2022,Incident
AP,Hardware,Australia,Deskside,Reported Issue - Hardware - Monitor,Y,05-09-2022,Incident
AM,,United Kingdom,Deskside, I no longer have r-click>New Folder option in Explorer,Y,20-09-2022,Incident
AP,,India,Deskside,Application Issues,Y,12-09-2022,Incident
AP,Network,,Deskside,Network Issues,Y,19-09-2022,Incident
AP,Hardware,Hong Kong,Deskside,Hardware Issue - Computer power down isuue,Y,01-09-2022,Incident
AP,Laptop,Australia,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,05-09-2022,Incident
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop touckpad issues ,Y,18-01-2023,Incident
AM,,United States,Deskside,Reported Issue - Security - Other,Y,05-09-2022,Incident
AM,Email,United States,Deskside,JLL outlook merge emails stuck on outbox,Y,08-09-2022,Incident
AM,Email,United States,Deskside,URGENT JLL Outlook Storage / lag  issues,Y,02-09-2022,Incident
AP,,Australia,Deskside,Application Issue - Issue with Onboarding Tool,Y,11-09-2022,Incident
AP,,Hong Kong,Deskside,Missing E-mails,Y,01-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery issues.,Y,06-09-2022,Incident
AM,Laptop,United States,Deskside,Ashakia Macklin - HARD DOWN JLL Hardware Issue - Laptop / OS Performance,Y,06-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop replacement,Y,06-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop audio issues,Y,05-09-2022,Incident
AM,,United States,Deskside,Not able to rebirth a request,Y,08-11-2022,Incident
AM,M365,United States,Deskside,Travis James JLL   - teams audio issue,Y,23-09-2022,Incident
AM,,United States,Deskside,ePro -  Ordering a software license / Adobe,Y,03-10-2022,Incident
AM,Laptop,United States,Deskside,Sara Alter - Hardware - JLL Damaged Property - Laptop Performance URGENT,Y,07-10-2022,Incident
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop low memory notification,Y,22-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,27-09-2022,Incident
AP,Hardware,Australia,Deskside,Hardware Issue - Docking Station,Y,06-12-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,02-09-2022,Incident
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop BAD Performance - Final Strike before closure,Y,14-11-2022,Incident
AM,Hardware,United States,Deskside,JLL Hardware Issue - Monitor issues,Y,01-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop issues. OOW - Laptop deploy - ST:HDHVPN3,Y,04-10-2022,Incident
AM,Laptop,United States,Deskside,Ben Lentz - Hardware Issue - Laptop will not play sound on videos,Y,02-11-2022,Incident
AP,Email,Australia,Deskside,Email - Issue sending or receiving reported,Y,05-09-2022,Incident
AP,Email,India,Deskside,Email Issues,Y,19-09-2022,Incident
AM,,United States,Deskside,Software - Capture One software issues,Y,20-09-2022,Incident
AP,,India,Deskside,Application issue,Y,02-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue -  Laptop disconnects from the internet  ( Recurring issue),Y,02-09-2022,Incident
AM,Active Directory,United States,Deskside,BAC Compliance Checking at Login,Y,06-09-2022,Incident
AM,Laptop,United States,Deskside,"JLL Hardware Issue - Laptop, Mouse  & Screen Performance",Y,19-09-2022,Incident
AM,Access,United States,Deskside,Hardware Issue - Accessories (Power cord),Y,14-09-2022,Incident
AM,,United States,Deskside,OneDrive - Application is not working properly,Y,01-09-2022,Incident
AM,M365,United States,Deskside,Reported Issue - Application - Microsoft Teams - O365 App,Y,16-09-2022,Incident
AM,Network,United States,Deskside,No network connection options,Y,08-09-2022,Incident
AM,Email,United States,Deskside,INC1088345 - Xerox Email Blast Request.,Y,01-09-2022,Incident
AM,,United States,Deskside,NO CCM INSTALLED AT ALL,Y,05-12-2022,Incident
AM,,United States,Deskside, Adobe Support - Adobe Creative Cloud,Y,19-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,01-09-2022,Incident
AM,,United States,Deskside,Reported Issue - Security - Suspicious Activity,Y,13-09-2022,Incident
AP,,China,Deskside,Reported Issue - Application - Corrigo,Y,06-09-2022,Incident
AP,,Hong Kong,Deskside,Reported Issue - Application - SharePoint Extranet,Y,04-09-2022,Incident
AP,Active Directory,Hong Kong,Deskside,Frequent Lock Out,Y,12-09-2022,Incident
AP,,India,Deskside,Datacard,Y,19-09-2022,Incident
AP,Access,India,Deskside,Unable to access pbp.propertymanager@ap.jll.com,Y,07-09-2022,Incident
AP,,India,Deskside,Audio/Video system,Y,05-10-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,09-09-2022,Incident
AM,,United States,Deskside,Jessica Rose-HARD DOWN- the user computer is not working,Y,01-09-2022,Incident
AM,,United States,Deskside,Reported Issue - Server - Issue with VHD file,Y,01-09-2022,Incident
AM,Laptop,United States,Deskside,Liz Benham - Hardware Issue - Laptop Not starting,Y,01-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Monitor issues.,Y,01-09-2022,Incident
AM,Hardware,United States,Deskside,Reported Issue - Hardware - Docking_Station,Y,15-02-2023,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,02-09-2022,Incident
AM,,United States,Deskside,Adobe Acrobat Pro - Applicattion Issues.,Y,27-09-2022,Incident
AM,,United States,Deskside,Sari Mishell - Adobe Acrobat - Issues,Y,11-10-2022,Incident
AM,,United States,Deskside,Reported Issue - Application - Adobe Creative,Y,06-09-2022,Incident
AM,,United States,Deskside,Hyung Lim-Hyung Lim-Reported Issue - Amazon Web Services (AWS),Y,29-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop - Battery,Y,01-09-2022,Incident
AM,Email,United States,Deskside,Outlook - Not launching,Y,07-09-2022,Incident
AM,,United States,Deskside,Compress Hard drive,Y,07-10-2022,Incident
AM,Email,United States,Deskside,Email - Other reported,Y,08-09-2022,Incident
AP,Hardware,India,Deskside,Hardware Troubleshooting,Y,12-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance / Slowness and Out of storage,Y,01-09-2022,Incident
AM,Laptop,Canada,Deskside,Hardware Issue - Laptop,Y,08-09-2022,Incident
AM,Laptop,United States,Deskside,Kristen Tomins - Hardware Issue - Laptop Performance / Storage issues,Y,06-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,04-10-2022,Incident
AM,Hardware,United States,Deskside,Reported Issue - Hardware - Monitor Order - JLL ePro Req US002-0000043702 / PO US002-0000039066,Y,01-09-2022,Incident
AP,Windows / OS,Australia,Deskside,Reported Issue - Application - Windows 10 - AP,Y,07-09-2022,Incident
AP,Laptop,Hong Kong,Deskside,Hardware Issue - Laptop,Y,01-09-2022,Incident
AP,,Thailand,Deskside,picture cant be displayed,Y,02-09-2022,Incident
AP,Email,Hong Kong,Deskside,HK FM RESI - Outlook archive access and file move/transfer issues,Y,05-09-2022,Incident
AM,,United States,Deskside,BAC  - Client Portal - Compliance Checking at Login,Y,06-09-2022,Incident
AM,,United States,Deskside,Local Admin Rights - Unable to install applications: Adobe Acrobat Pro,Y,06-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,09-09-2022,Incident
AM,Email,United States,Deskside,Outlook (desktop) -  Reoccurring issue / INC1063228,Y,21-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop (Slow/aout to crash),Y,05-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop (keyboard *T*),Y,18-11-2022,Incident
AM,Hardware,United States,Deskside,Reported Issue - Hardware  (Re image),Y,05-09-2022,Incident
AM,Laptop,United States,Deskside,HARD DOWN - Network issues - Laptop login issue,Y,07-09-2022,Incident
AM,Windows / OS,United States,Deskside,Windows / MAC â€“ Resetting FileVault or Bitlocker,Y,27-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Blue screen,Y,02-09-2022,Incident
AM,M365,United States,Deskside,Microsoft Teams - Camera issues.,Y,05-09-2022,Incident
AM,Email,United States,Deskside,Outlook Mobile Issues ,Y,01-09-2022,Incident
AM,Laptop,Mexico,Deskside,Laptop Dell - System Failure,Y,02-09-2022,Incident
AM,Laptop,United States,Deskside,Andrea Encina-Reported Issue - Hardware - Laptop_Desktop,Y,09-09-2022,Incident
AM,Printer,United States,Deskside,Reported Issue - Hardware - Printer,Y,01-09-2022,Incident
AP,Laptop,Hong Kong,Deskside,Laptop unable to startup,Y,19-09-2022,Incident
AM,,United States,Deskside,Urgent- INC1088991 - Keyboard assistance,Y,01-09-2022,Incident
AP,Laptop,Hong Kong,Deskside,"AutoCAD screen, lagging issue, Connectivity issue with WIFI over all device (laptop, iphone, ipad)",Y,08-09-2022,Incident
AM,,United States,Deskside,BAC - Client Portal - Compliance Conflict: 15 Days Compliance Period Expired,Y,02-09-2022,Incident
AM,Hardware,United States,Deskside,Hardware Issue - Docking Station,Y,05-10-2022,Incident
AM,,Canada,Deskside,VPN - Stuck at Posture assessment: Initiating...,Y,01-09-2022,Incident
AM,,United States,Deskside,Application Issue - Adobe Creative Suite,Y,19-09-2022,Incident
AM,Printer,United States,Deskside,Keith Janus-Hardware Issue - Printer,Y,05-09-2022,Incident
AM,Mobile Device,United States,Deskside,Reported Issue - Hardware - Smartphone_Mobile,Y,12-01-2023,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop issues,Y,20-10-2022,Incident
AM,M365,United States,Deskside,Reported Issue - Application - Microsoft Teams - Telecom Audio/Conf/Video features,Y,01-09-2022,Incident
AM,Okta,United States,Deskside,Robert Shaw - OKTA - Not receiving the SMS codes to sign in or to unlock the account,Y,07-09-2022,Incident
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,06-09-2022,Incident
AM,,United States,Deskside,Mouse issues,Y,04-10-2022,Incident
AM,Access,United States,Deskside,Computer access issue,Y,05-09-2022,Incident
AP,Laptop,Australia,Deskside,Hardware Issue - Laptop - Monitor not working properly - 420 George Street,Y,04-09-2022,Incident
AM,Email,United States,Deskside,User needs E3 license in order to have access to outlook  / Microsoft Outlook WebMail information,Y,13-09-2022,Incident
AP,Laptop,Australia,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,18-09-2022,Incident
AP,Hardware,Malaysia,Deskside,Reported Issue - Hardware - Other,Y,05-09-2022,Incident
AP,,India,Deskside,Unable to ping Sever - inggn05insv001,Y,19-09-2022,Incident
AP,M365,China,Deskside,App Issue - MS Teams - Audio Conferencing issues,Y,01-09-2022,Incident
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident
AP,Email,India,Deskside,Outlook Not Opening,Y,12-09-2022,Incident
AP,,India,Deskside,APAC - ** URGENT ** Primary DNS IP not pinging,Y,23-09-2022,Incident
AM,,United States,Deskside,"Yarazet.Jimenez - Software - Unable to update the local HOSTS file, admin rights needed",Y,02-09-2022,Incident
AM,Access,United States,Deskside,AWS - Application Access Error on Desktop computer,Y,08-10-2022,Incident
AM,,United States,Deskside,Grammarly- Issues,Y,13-09-2022,Incident
AM,Email,United States,Deskside,"BAC MS Teams, Outlook - Access Issues",Y,15-09-2022,Incident
AM,Printer,United States,Deskside,Software - Admin rights needed to install drivers for an Epson ET-2800 Printer,Y,06-09-2022,Incident
AM,Windows / OS,United States,Deskside,PDF Files - Issues ,Y,02-09-2022,Incident
AM,Hardware,United States,Deskside,JLL Hardware Issue - External Monitor not recognized,Y,03-11-2022,Incident
AM,,United States,Deskside,HARD DOWN - NOT REACTING ,Y,07-09-2022,Incident
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop LOW battery Performance,Y,01-09-2022,Incident
AM,Windows / OS,United States,Deskside,NVR Three work station- Installation issues ,Y,02-09-2022,Incident
AM,,United States,Deskside,JLL Admin Rights  Tableau Reader,Y,01-09-2022,Incident
AM,Email,United States,Deskside,BAC Outlook Email - Password prompt,Y,08-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,14-09-2022,Incident
AM,Laptop,United States,Deskside,Emily Thoma-Reported Issue - Hardware - Laptop_Desktop,Y,08-11-2022,Incident
AM,Network,United States,Deskside,Network Account - Off Network Computer Login Issue,Y,06-09-2022,Incident
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop LOW  Performance,Y,23-09-2022,Incident
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Keyboard LOW Performance,Y,26-10-2022,Incident
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Battery LOW Performance,Y,09-09-2022,Incident
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,19-09-2022,Incident
