close notes,resolver grp,summary,Cleaned_Column
"Resolution notes copied from Parent Incident: utilization looks normal
hence resolving ",Windows Support,Alert: CPU Utilization on AUS-BI02 is Warning	,"resolution notes copied from parent incident utilization looks normal
hence resolving "
"Resolution notes copied from Parent Incident: utilization looks normal
hence resolving ",Windows Support,Alert: CPU Utilization on GBVVSDS0 is Warning	,"resolution notes copied from parent incident utilization looks normal
hence resolving "
issue resolved,Windows Support,Critical ALERT:  A Microsoft IIS component  on AUS-GHS01 is in a current state of: Down,issue resolved
"Issue Identification: CPU Utilization on GBVVSWW7 is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on GBVVSWW7 is Critical	,"issue identification cpu utilization on gbvvsww7 is critical	
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
"Issue Identification: Memory Utilization on gbdvssq0 is : 97 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on gbdvssq0 is : 97 %,"issue identification memory utilization on gbdvssq0 is  97 
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Critical,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
Now the utilization is normal. Reset email generated.,Linux Support,Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is warning,now the utilization is normal reset email generated
"Issue Identification: Memory Utilization on CAV-SQLDW04 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on CAV-SQLDW04 is : 94 %,"issue identification memory utilization on cavsqldw04 is  94 
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
"Issue Identification: CPU Utilization on AUS-BI02 is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on AUS-BI02 is Critical	,"issue identification cpu utilization on ausbi02 is critical	
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
"Issue Identification: Memory Utilization on GBVVSCL3 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %,"issue identification memory utilization on gbvvscl3 is  94 
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
"Issue Identification: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	,"issue identification cpu utilization on ausesx17haasgroupintlcom is critical	
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
CPU utilization is normal now. Reset email generated.,Linux Support,Alert: CPU Utilization on tcmdev-ora01 is Critical,cpu utilization is normal now reset email generated
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira KUmar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB08 is Critical	,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
"Issue Identification: ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 20 % is available,"issue identification alert disk space on xa6506c label 88e6af70 has currently 20  is available
resolution alert reset  issue detected as resolved by orion after the post schedule reboot the space is cleared 
solarwinds confirmation yesno  yes"
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-BIPRD-PUB02 is Critical	,alert reset  issue detected as resolved by orion
"Issue Identification: Memory Utilization on GBVVSMS4 is : 99 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %,"issue identification memory utilization on gbvvsms4 is  99 
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
"Issue Identification:  Memory Utilization on GBVVSFS3 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSFS3 is : 94 %,"issue identification  memory utilization on gbvvsfs3 is  94 
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
Alert reset - issue detected as resolved by Orion,Windows Support,Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %,alert reset  issue detected as resolved by orion
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Alert: CPU Utilization on GJDEWEB08 is Critical,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
"Issue Identification: Memory Utilization on GBVVSSQ6 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,"issue identification memory utilization on gbvvssq6 is  94 
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,"alert reset  issue detected as resolved by orion
orion alert details"
"Issue Identification: Memory Utilization on XNETWEB03 is in Warning
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: Memory Utilization on XNETWEB03 is in Warning,"issue identification memory utilization on xnetweb03 is in warning
resolution alert reset  issue detected as resolved by orion after the cleared the unused sessions its come down 
solarwinds confirmation yesno  yes"
"utilization looks normal
hence resolving ",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 94 %,"utilization looks normal
hence resolving "
"Issue Identification: ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 20 % is available,"issue identification alert disk space on xa6508c label 88e6af70 has currently 20  is available
resolution alert reset  issue detected as resolved by orion after the post schedule reboot the space is cleared 
solarwinds confirmation yesno  yes"
"Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on TXAUS-DC01 is Critical	,"issue has been resolved without action alert reset  issue detected as resolved by orion
"
"Issue Identification: ALERT: DISK SPACE on XA6509-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6509-C:\ Label: 88E6AF70 has currently 20 % is available,"issue identification alert disk space on xa6509c label 88e6af70 has currently 20  is available
resolution alert reset  issue detected as resolved by orion after the post schedule reboot the space is cleared 
solarwinds confirmation yesno  yes"
"Issue Identification: ALERT: DISK SPACE on XA6514-C:\ Label: 88E6AF70 has currently 19 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6514-C:\ Label: 88E6AF70 has currently 19 % is available,"issue identification alert disk space on xa6514c label 88e6af70 has currently 19  is available
resolution alert reset  issue detected as resolved by orion after the post schedule reboot the space is cleared 
solarwinds confirmation yesno  yes"
"Issue Identification: ALERT: DISK SPACE on XA6529-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6529-C:\ Label: 88E6AF70 has currently 20 % is available,"issue identification alert disk space on xa6529c label 88e6af70 has currently 20  is available
resolution alert reset  issue detected as resolved by orion after the post schedule reboot the space is cleared 
solarwinds confirmation yesno  yes"
"Issue Identification: ALERT:  DISK SPACE on XA6505-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6505-C:\ Label: 88E6AF70 has currently 20 % is available,"issue identification alert  disk space on xa6505c label 88e6af70 has currently 20  is available
resolution alert reset  issue detected as resolved by orion after the post schedule reboot the space is cleared 
solarwinds confirmation yesno  yes"
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB01 is Warning	,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
"Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	,"issue has been resolved without action alert reset  issue detected as resolved by orion
"
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	,alert reset  issue detected as resolved by orion
"Issue Identification: ALERT:  DISK SPACE on XA6523-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6523-C:\ Label: 88E6AF70 has currently 20 % is available,"issue identification alert  disk space on xa6523c label 88e6af70 has currently 20  is available
resolution alert reset  issue detected as resolved by orion after the post schedule reboot the space is cleared 
solarwinds confirmation yesno  yes"
"Issue Identification: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available,"issue identification disk space on xa6516c label 88e6af70 has currently 20  is available
resolution alert reset  issue detected as resolved by orion after the post schedule reboot the space is cleared 
solarwinds confirmation yesno  yes"
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-THR-891-AAX-R01.wescoaircraft.com is Down,alert reset  issue detected as resolved by orion
"Issue Identification: ALERT:   DISK SPACE on XA6525-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6525-C:\ Label: 88E6AF70 has currently 20 % is available,"issue identification alert   disk space on xa6525c label 88e6af70 has currently 20  is available
resolution alert reset  issue detected as resolved by orion after the post schedule reboot the space is cleared 
solarwinds confirmation yesno  yes"
"
Derek have done disk cleanup on server.


Hi Anil,

I've done some clean up.

Regards,

Derek",Windows Support,ALERT: DISK SPACE on GBVVSDV1-E:\ Label:DATA 301C627F has currently 13 % is available,"
derek have done disk cleanup on server


hi anil

ive done some clean up

regards

derek"
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-SLC-891-NOC-R01.wescoaircraft.com is Down,alert reset  issue detected as resolved by orion
Alert reset - issue detected as resolved by Orion.,Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - NG: Salt Lake City - AMER - 2211 West North Temple, Salt Lake City, UT 84116, USA",alert reset  issue detected as resolved by orion
Server restarted by sccm Team.,Windows Support,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 94 %,server restarted by sccm team
Component is UP now. Reset email generated,Linux Support,ALERT:  A ADC _sabrix _URL _monitoring component  on ws1.tcmis.com is Down,component is up now reset email generated
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,alert reset  issue detected as resolved by orion
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira KUmar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB04 is Critical	,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on VALJDELOG03 is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on CAMI-RODC01 is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on DC03PAPRC01 is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on CAV-CMDR01 is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on G-TRAXPRODWEB3 is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on ALFO-RODC01 is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-ORIONHA01 is in a current state of: Down,issue resolved
Crowdstrike is running inside the server,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on G-SCCM01 is in a current state of: Down,crowdstrike is running inside the server
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-AP-FB01 is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXAU-FBRDP01 is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on txfw-dc03 is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXAU-SQL19-N2 is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on GJDEOHS02 is in a current state of: Down,issue resolved
Crowdstrike is running inside the server,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on VALSIGVM02 is in a current state of: Down,crowdstrike is running inside the server
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-DRSC is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXAU-FB01 is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUSTX-Datamatic is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on SHARESCANSERVER is in a current state of: Down,issue resolved
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on ITMAFILE is in a current state of: Down,issue resolved
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on VALDC01 is : 94 %,"resolution notes copied from parent incident all looks good
issue fixed"
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Critical,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on GJDEWEB04 is Critical,"resolution notes copied from parent incident all looks good
issue fixed"
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB07 is Critical	,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
CPU utilization is normal now. Reset email generated.,Linux Support,Alert: CPU Utilization on tcmqa03-ws01.tcmis.com is Critical,cpu utilization is normal now reset email generated
"Now the utilization is normal. Reset email generated. 
",Linux Support,Alert: Memory Utilization on tcmprd-ws07.tcmis.com is warning,"now the utilization is normal reset email generated 
"
Services is up and running,JDE CNC Technical, NODE ALERT: ITEST2.WESCOHQ.COM is Down,services is up and running
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on GJDEWEB07 is Critical,"resolution notes copied from parent incident all looks good
issue fixed"
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CN-HAN-C1111-R01.wescoaircraft.com is Down,alert reset  issue detected as resolved by orion
Webserver restarted and the component is UP now.,Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws07.tcmis.com is Down,webserver restarted and the component is up now
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
"migrated to another host
issue resolved",Windows Support, NODE ALERT: AUSOFF-FILE01 is Down,"migrated to another host
issue resolved"
Webserver restarted and the component is UP now.,Linux Support,Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws07.tcmis.com is Down,webserver restarted and the component is up now
"Resolution notes copied from Parent Incident: Site is up 
host and servers are reachable
hence resolving ",Windows Support, NODE ALERT: yokneam-wds is Down,"resolution notes copied from parent incident site is up 
host and servers are reachable
hence resolving "
"Site is up 
host and servers are reachable
hence resolving ",Windows Support, NODE ALERT: YOKNEAM-DC01 is Down,"site is up 
host and servers are reachable
hence resolving "
"Resolution notes copied from Parent Incident: Site is up 
host and servers are reachable
hence resolving ",Windows Support, NODE ALERT: YOKNEAM-FILE01 is Down,"resolution notes copied from parent incident site is up 
host and servers are reachable
hence resolving "
"Resolution notes copied from Parent Incident: Site is up 
host and servers are reachable
hence resolving ",Windows Support,ESX ALERT: yokneam-esx01.haasgroupintl.com is Down,"resolution notes copied from parent incident site is up 
host and servers are reachable
hence resolving "
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on SGSVSFS1 is : 97 %,"resolution notes copied from parent incident all looks good
issue fixed"
issue resolved,Windows Support,Critical ALERT:  A Distributed File System (DFS) component  on AUS-DFS01 is in a current state of: Down,issue resolved
auto resolved,MS SQL Database Support,Warning ALERT:  SQL Components component  on gbdvssq0 shows Warning,auto resolved
"Powered on  the server
server is reachable
hence resolving ",Windows Support, NODE ALERT: INBA-DC1 is Down,"powered on  the server
server is reachable
hence resolving "
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	,"resolution notes copied from parent incident all looks good
issue fixed"
CPU utilization is normal now. Reset email generated.,Linux Support,Alert: CPU Utilization on tcmdev-ora01 is Warning,cpu utilization is normal now reset email generated
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,ALERT: DISK SPACE on AUS-VEEAM-CON01-C:\ Label: DAE3F737 has currently 14 % is available,"resolution notes copied from parent incident all looks good
issue fixed"
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 95 %,"resolution notes copied from parent incident all looks good
issue fixed"
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Critical,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on ECOMDEVWEBVS01 is : 94 %,"resolution notes copied from parent incident all looks good
issue fixed"
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards
Athira KUmar",JDE CNC Technical, NODE ALERT: GJDEWEB04 has rebooted,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards
athira kumar"
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB01 is Critical	,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB04 is in a current state of: Down,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards
Athira Kumar",JDE CNC Technical, NODE ALERT: GJDEWEB07 has rebooted,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards
athira kumar"
Alert reset - issue detected as resolved by Orion.,Network Support,"Group Alert: Network Team Tickets: WAP - West Chester - AMER - 1475 Phoenixvil?le Pike Suite 100, West Chester, PA 19380, USA Down",alert reset  issue detected as resolved by orion
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Down,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-GOL-891-RAY-R01.wescoaircraft.com is Down,alert reset  issue detected as resolved by orion
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: GJDEWEB08 has rebooted,"hello all

 

web instances are working fine and cpu utilization is normal after restart 

qc passed successfully i am resolving the incident now

please reopen the incident if further assistance is needed

 

regards

athira kumar"
issue resolved,Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,issue resolved
