close notes,resolver grp,summary,Cleaned_Column
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Critical,critical alert  a jde_webserver_services component  on gjdeweb08 is in a current state of critical
Now the utilization is normal. Reset email generated.,Linux Support,Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is warning,alert memory utilization on tcmprdhaasr02tcmiscom is warning
"Issue Identification: Memory Utilization on CAV-SQLDW04 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on CAV-SQLDW04 is : 94 %,warning alert memory utilization on cavsqldw04 is  94 
"Issue Identification: CPU Utilization on AUS-BI02 is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on AUS-BI02 is Critical	,alert cpu utilization on ausbi02 is critical	
"Issue Identification: Memory Utilization on GBVVSCL3 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %,warning alert memory utilization on gbvvscl3 is  94 
"Issue Identification: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	,alert cpu utilization on ausesx17haasgroupintlcom is critical	
CPU utilization is normal now. Reset email generated.,Linux Support,Alert: CPU Utilization on tcmdev-ora01 is Critical,alert cpu utilization on tcmdevora01 is critical
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira KUmar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB08 is Critical	,alert cpu utilization in gjdeweb08 is critical	
"Issue Identification: ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6506c label 88e6af70 has currently 20  is available
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-BIPRD-PUB02 is Critical	,alert cpu utilization on ausbiprdpub02 is critical	
"Issue Identification: Memory Utilization on GBVVSMS4 is : 99 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %,critical alert memory utilization on gbvvsms4 is  99 
"Issue Identification:  Memory Utilization on GBVVSFS3 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSFS3 is : 94 %,warning alert memory utilization on gbvvsfs3 is  94 
Alert reset - issue detected as resolved by Orion,Windows Support,Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %,warning alert memory utilization on gbvvsms4 is  95 
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Alert: CPU Utilization on GJDEWEB08 is Critical,alert cpu utilization on gjdeweb08 is critical
"Issue Identification: Memory Utilization on GBVVSSQ6 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,warning alert memory utilization on gbvvssq6 is  94 
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,warning alert memory utilization on gbvvssq6 is  94 
"Issue Identification: Memory Utilization on XNETWEB03 is in Warning
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: Memory Utilization on XNETWEB03 is in Warning,alert memory utilization on xnetweb03 is in warning
"utilization looks normal
hence resolving ",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 94 %,warning alert memory utilization on gbvvssq10 is  94 
"Issue Identification: ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6508c label 88e6af70 has currently 20  is available
"Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on TXAUS-DC01 is Critical	,alert cpu utilization on txausdc01 is critical	
"Issue Identification: ALERT: DISK SPACE on XA6509-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6509-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6509c label 88e6af70 has currently 20  is available
"Issue Identification: ALERT: DISK SPACE on XA6514-C:\ Label: 88E6AF70 has currently 19 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6514-C:\ Label: 88E6AF70 has currently 19 % is available,alert disk space on xa6514c label 88e6af70 has currently 19  is available
"Issue Identification: ALERT: DISK SPACE on XA6529-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6529-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6529c label 88e6af70 has currently 20  is available
"Issue Identification: ALERT:  DISK SPACE on XA6505-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6505-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6505c label 88e6af70 has currently 20  is available
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB01 is Warning	,alert cpu utilization in gjdeweb01 is warning	
"Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	,alert cpu utilization on ausmcl01 is warning	
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	,alert cpu utilization on ausmcl01 is warning	
"Issue Identification: ALERT:  DISK SPACE on XA6523-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6523-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6523c label 88e6af70 has currently 20  is available
"Issue Identification: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6516c label 88e6af70 has currently 20  is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-THR-891-AAX-R01.wescoaircraft.com is Down,tier 3  critical device down usthr891aaxr01wescoaircraftcom is down
"Issue Identification: ALERT:   DISK SPACE on XA6525-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6525-C:\ Label: 88E6AF70 has currently 20 % is available,alert disk space on xa6525c label 88e6af70 has currently 20  is available
"
Derek have done disk cleanup on server.


Hi Anil,

I've done some clean up.

Regards,

Derek",Windows Support,ALERT: DISK SPACE on GBVVSDV1-E:\ Label:DATA 301C627F has currently 13 % is available,alert disk space on gbvvsdv1e labeldata 301c627f has currently 13  is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-SLC-891-NOC-R01.wescoaircraft.com is Down,tier 3  critical device down usslc891nocr01wescoaircraftcom is down
Alert reset - issue detected as resolved by Orion.,Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - NG: Salt Lake City - AMER - 2211 West North Temple, Salt Lake City, UT 84116, USA",group alert group is down  network team tickets tier3  ng salt lake city  amer  2211 west north temple salt lake city ut 84116 usa
Server restarted by sccm Team.,Windows Support,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 94 %,warning alert memory utilization on usazsccmcas01 is  94 
Component is UP now. Reset email generated,Linux Support,ALERT:  A ADC _sabrix _URL _monitoring component  on ws1.tcmis.com is Down,alert  a adc _sabrix _url _monitoring component  on ws1tcmiscom is down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira KUmar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB04 is Critical	,alert cpu utilization in gjdeweb04 is critical	
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on VALJDELOG03 is in a current state of: Down,critical alert  a baseline services_windows component  on valjdelog03 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on CAMI-RODC01 is in a current state of: Down,critical alert  a baseline services_windows component  on camirodc01 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on DC03PAPRC01 is in a current state of: Down,critical alert  a baseline services_windows component  on dc03paprc01 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on CAV-CMDR01 is in a current state of: Down,critical alert  a baseline services_windows component  on cavcmdr01 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on G-TRAXPRODWEB3 is in a current state of: Down,critical alert  a baseline services_windows component  on gtraxprodweb3 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on ALFO-RODC01 is in a current state of: Down,critical alert  a baseline services_windows component  on alforodc01 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-ORIONHA01 is in a current state of: Down,critical alert  a baseline services_windows component  on ausorionha01 is in a current state of down
Crowdstrike is running inside the server,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on G-SCCM01 is in a current state of: Down,critical alert  a baseline services_windows component  on gsccm01 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-AP-FB01 is in a current state of: Down,critical alert  a baseline services_windows component  on ausapfb01 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXAU-FBRDP01 is in a current state of: Down,critical alert  a baseline services_windows component  on txaufbrdp01 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on txfw-dc03 is in a current state of: Down,critical alert  a baseline services_windows component  on txfwdc03 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXAU-SQL19-N2 is in a current state of: Down,critical alert  a baseline services_windows component  on txausql19n2 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on GJDEOHS02 is in a current state of: Down,critical alert  a baseline services_windows component  on gjdeohs02 is in a current state of down
Crowdstrike is running inside the server,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on VALSIGVM02 is in a current state of: Down,critical alert  a baseline services_windows component  on valsigvm02 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-DRSC is in a current state of: Down,critical alert  a baseline services_windows component  on ausdrsc is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXAU-FB01 is in a current state of: Down,critical alert  a baseline services_windows component  on txaufb01 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUSTX-Datamatic is in a current state of: Down,critical alert  a baseline services_windows component  on austxdatamatic is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on SHARESCANSERVER is in a current state of: Down,critical alert  a baseline services_windows component  on sharescanserver is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on ITMAFILE is in a current state of: Down,critical alert  a baseline services_windows component  on itmafile is in a current state of down
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on VALDC01 is : 94 %,warning alert memory utilization on valdc01 is  94 
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Critical,critical alert  a jde_webserver_services component  on gjdeweb07 is in a current state of critical
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on GJDEWEB04 is Critical,alert cpu utilization on gjdeweb04 is critical
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB07 is Critical	,alert cpu utilization in gjdeweb07 is critical	
CPU utilization is normal now. Reset email generated.,Linux Support,Alert: CPU Utilization on tcmqa03-ws01.tcmis.com is Critical,alert cpu utilization on tcmqa03ws01tcmiscom is critical
"Now the utilization is normal. Reset email generated. 
",Linux Support,Alert: Memory Utilization on tcmprd-ws07.tcmis.com is warning,alert memory utilization on tcmprdws07tcmiscom is warning
Services is up and running,JDE CNC Technical, NODE ALERT: ITEST2.WESCOHQ.COM is Down, node alert itest2wescohqcom is down
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on GJDEWEB07 is Critical,alert cpu utilization on gjdeweb07 is critical
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted, node alert valjdelog01 has rebooted
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CN-HAN-C1111-R01.wescoaircraft.com is Down,tier 3  critical device down cnhanc1111r01wescoaircraftcom is down
Webserver restarted and the component is UP now.,Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws07.tcmis.com is Down,alert  a m5 monitoring tomcat component  on tcmprdws07tcmiscom is down
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted, node alert devjdejas2 has rebooted
"migrated to another host
issue resolved",Windows Support, NODE ALERT: AUSOFF-FILE01 is Down, node alert ausofffile01 is down
Webserver restarted and the component is UP now.,Linux Support,Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws07.tcmis.com is Down,critical alert  a tcmis services 20 component  on tcmprdws07tcmiscom is down
"Resolution notes copied from Parent Incident: Site is up 
host and servers are reachable
hence resolving ",Windows Support, NODE ALERT: yokneam-wds is Down, node alert yokneamwds is down
"Site is up 
host and servers are reachable
hence resolving ",Windows Support, NODE ALERT: YOKNEAM-DC01 is Down, node alert yokneamdc01 is down
"Resolution notes copied from Parent Incident: Site is up 
host and servers are reachable
hence resolving ",Windows Support, NODE ALERT: YOKNEAM-FILE01 is Down, node alert yokneamfile01 is down
"Resolution notes copied from Parent Incident: Site is up 
host and servers are reachable
hence resolving ",Windows Support,ESX ALERT: yokneam-esx01.haasgroupintl.com is Down,esx alert yokneamesx01haasgroupintlcom is down
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on SGSVSFS1 is : 97 %,warning alert memory utilization on sgsvsfs1 is  97 
issue resolved,Windows Support,Critical ALERT:  A Distributed File System (DFS) component  on AUS-DFS01 is in a current state of: Down,critical alert  a distributed file system dfs component  on ausdfs01 is in a current state of down
auto resolved,MS SQL Database Support,Warning ALERT:  SQL Components component  on gbdvssq0 shows Warning,warning alert  sql components component  on gbdvssq0 shows warning
"Powered on  the server
server is reachable
hence resolving ",Windows Support, NODE ALERT: INBA-DC1 is Down, node alert inbadc1 is down
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	,alert cpu utilization on goptiopd is warning	
CPU utilization is normal now. Reset email generated.,Linux Support,Alert: CPU Utilization on tcmdev-ora01 is Warning,alert cpu utilization on tcmdevora01 is warning
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,ALERT: DISK SPACE on AUS-VEEAM-CON01-C:\ Label: DAE3F737 has currently 14 % is available,alert disk space on ausveeamcon01c label dae3f737 has currently 14  is available
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 95 %,warning alert memory utilization on gbvvssq10 is  95 
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Critical,critical alert  a jde_webserver_services component  on gjdeweb01 is in a current state of critical
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on ECOMDEVWEBVS01 is : 94 %,warning alert memory utilization on ecomdevwebvs01 is  94 
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards
Athira KUmar",JDE CNC Technical, NODE ALERT: GJDEWEB04 has rebooted, node alert gjdeweb04 has rebooted
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB01 is Critical	,alert cpu utilization in gjdeweb01 is critical	
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB04 is in a current state of: Down,critical alert  a jde_webserver_services component  on gjdeweb04 is in a current state of down
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards
Athira Kumar",JDE CNC Technical, NODE ALERT: GJDEWEB07 has rebooted, node alert gjdeweb07 has rebooted
Alert reset - issue detected as resolved by Orion.,Network Support,"Group Alert: Network Team Tickets: WAP - West Chester - AMER - 1475 Phoenixvil?le Pike Suite 100, West Chester, PA 19380, USA Down",group alert network team tickets wap  west chester  amer  1475 phoenixville pike suite 100 west chester pa 19380 usa down
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Down,critical alert  a jde_webserver_services component  on gjdeweb07 is in a current state of down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-GOL-891-RAY-R01.wescoaircraft.com is Down,tier 3  critical device down usgol891rayr01wescoaircraftcom is down
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: GJDEWEB08 has rebooted, node alert gjdeweb08 has rebooted
issue resolved,Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on gmoveitt1 is in a current state of down
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	,alert cpu utilization on ausesx17haasgroupintlcom is warning	
Now the utilization is normal. Reset email generated. ,Linux Support,Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is warning,alert memory utilization on tcmprdhaasr05tcmiscom is warning
"Issue Identification: NODE Down ALERT: XA6501 is Down
Resolution:  Due to the server being in a hung state after reboot, it's up and running fine and accepting the connections. 
SolarWinds Confirmation (Yes/No):  Yes. ",Citrix Support,NODE Down ALERT: XA6501 is Down,node down alert xa6501 is down
"Issue Identification: NODE Down ALERT: XA6540 is Down
Resolution:  Due to the server being in a hung state after reboot, it's up and running fine and accepting the connections. 
SolarWinds Confirmation (Yes/No):  Yes. ",Citrix Support,NODE Down ALERT: XA6540 is Down,node down alert xa6540 is down
"all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %,warning alert memory utilization on gbvfsmo0 is  94 
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on GJDEWEB01 is Critical,alert cpu utilization on gjdeweb01 is critical
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: GJDEWEB01 has rebooted, node alert gjdeweb01 has rebooted
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Down,critical alert  a jde_webserver_services component  on gjdeweb01 is in a current state of down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on GJDEWEB01 is in a current state of: Down,critical alert  a baseline services_windows component  on gjdeweb01 is in a current state of down
"Issue Identification: ALERT: DISK SPACE on XA6517-C:\ Label: 88E6AF70 has currently 19 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6517-C:\ Label: 88E6AF70 has currently 19 % is available,alert disk space on xa6517c label 88e6af70 has currently 19  is available
CPU utilization is normal now. Reset email generated.,Linux Support,Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical,alert cpu utilization on wdiprdcml01haasgroupintlcom is critical
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on G-OPTIOPD is Critical	,alert cpu utilization on goptiopd is critical	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down
