close notes,resolver grp,summary
"Issue Identification: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	
CPU utilization is normal now. Reset email generated.,Linux Support,Alert: CPU Utilization on tcmdev-ora01 is Critical
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira KUmar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB08 is Critical	
"Issue Identification: ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 20 % is available
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-BIPRD-PUB02 is Critical	
"Issue Identification: Memory Utilization on GBVVSMS4 is : 99 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %
"Issue Identification:  Memory Utilization on GBVVSFS3 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSFS3 is : 94 %
Alert reset - issue detected as resolved by Orion,Windows Support,Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Alert: CPU Utilization on GJDEWEB08 is Critical
"Issue Identification: Memory Utilization on GBVVSSQ6 is : 94 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %
"Alert reset - issue detected as resolved by Orion
Orion Alert Details",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %
"Issue Identification: Memory Utilization on XNETWEB03 is in Warning
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Alert: Memory Utilization on XNETWEB03 is in Warning
"utilization looks normal
hence resolving ",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 94 %
"Issue Identification: ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 20 % is available
"Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on TXAUS-DC01 is Critical	
"Issue Identification: ALERT: DISK SPACE on XA6509-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6509-C:\ Label: 88E6AF70 has currently 20 % is available
"Issue Identification: ALERT: DISK SPACE on XA6514-C:\ Label: 88E6AF70 has currently 19 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6514-C:\ Label: 88E6AF70 has currently 19 % is available
"Issue Identification: ALERT: DISK SPACE on XA6529-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6529-C:\ Label: 88E6AF70 has currently 20 % is available
"Issue Identification: ALERT:  DISK SPACE on XA6505-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6505-C:\ Label: 88E6AF70 has currently 20 % is available
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB01 is Warning	
"Issue has been resolved without action. Alert reset - issue detected as resolved by Orion
",Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	
Alert reset - issue detected as resolved by Orion,Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	
"Issue Identification: ALERT:  DISK SPACE on XA6523-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6523-C:\ Label: 88E6AF70 has currently 20 % is available
"Issue Identification: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6516-C:\ Label: 88E6AF70 has currently 20 % is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-THR-891-AAX-R01.wescoaircraft.com is Down
"Issue Identification: ALERT:   DISK SPACE on XA6525-C:\ Label: 88E6AF70 has currently 20 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6525-C:\ Label: 88E6AF70 has currently 20 % is available
"
Derek have done disk cleanup on server.


Hi Anil,

I've done some clean up.

Regards,

Derek",Windows Support,ALERT: DISK SPACE on GBVVSDV1-E:\ Label:DATA 301C627F has currently 13 % is available
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-SLC-891-NOC-R01.wescoaircraft.com is Down
Alert reset - issue detected as resolved by Orion.,Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - NG: Salt Lake City - AMER - 2211 West North Temple, Salt Lake City, UT 84116, USA"
Server restarted by sccm Team.,Windows Support,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 94 %
Component is UP now. Reset email generated,Linux Support,ALERT:  A ADC _sabrix _URL _monitoring component  on ws1.tcmis.com is Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira KUmar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB04 is Critical	
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on VALJDELOG03 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on CAMI-RODC01 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on DC03PAPRC01 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on CAV-CMDR01 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on G-TRAXPRODWEB3 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on ALFO-RODC01 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-ORIONHA01 is in a current state of: Down
Crowdstrike is running inside the server,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on G-SCCM01 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-AP-FB01 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXAU-FBRDP01 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on txfw-dc03 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXAU-SQL19-N2 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on GJDEOHS02 is in a current state of: Down
Crowdstrike is running inside the server,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on VALSIGVM02 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUS-DRSC is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on TXAU-FB01 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on AUSTX-Datamatic is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on SHARESCANSERVER is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on ITMAFILE is in a current state of: Down
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on VALDC01 is : 94 %
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Critical
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on GJDEWEB04 is Critical
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB07 is Critical	
CPU utilization is normal now. Reset email generated.,Linux Support,Alert: CPU Utilization on tcmqa03-ws01.tcmis.com is Critical
"Now the utilization is normal. Reset email generated. 
",Linux Support,Alert: Memory Utilization on tcmprd-ws07.tcmis.com is warning
Services is up and running,JDE CNC Technical, NODE ALERT: ITEST2.WESCOHQ.COM is Down
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on GJDEWEB07 is Critical
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: CN-HAN-C1111-R01.wescoaircraft.com is Down
Webserver restarted and the component is UP now.,Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws07.tcmis.com is Down
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted
"migrated to another host
issue resolved",Windows Support, NODE ALERT: AUSOFF-FILE01 is Down
Webserver restarted and the component is UP now.,Linux Support,Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws07.tcmis.com is Down
"Resolution notes copied from Parent Incident: Site is up 
host and servers are reachable
hence resolving ",Windows Support, NODE ALERT: yokneam-wds is Down
"Site is up 
host and servers are reachable
hence resolving ",Windows Support, NODE ALERT: YOKNEAM-DC01 is Down
"Resolution notes copied from Parent Incident: Site is up 
host and servers are reachable
hence resolving ",Windows Support, NODE ALERT: YOKNEAM-FILE01 is Down
"Resolution notes copied from Parent Incident: Site is up 
host and servers are reachable
hence resolving ",Windows Support,ESX ALERT: yokneam-esx01.haasgroupintl.com is Down
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on SGSVSFS1 is : 97 %
issue resolved,Windows Support,Critical ALERT:  A Distributed File System (DFS) component  on AUS-DFS01 is in a current state of: Down
auto resolved,MS SQL Database Support,Warning ALERT:  SQL Components component  on gbdvssq0 shows Warning
"Powered on  the server
server is reachable
hence resolving ",Windows Support, NODE ALERT: INBA-DC1 is Down
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	
CPU utilization is normal now. Reset email generated.,Linux Support,Alert: CPU Utilization on tcmdev-ora01 is Warning
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,ALERT: DISK SPACE on AUS-VEEAM-CON01-C:\ Label: DAE3F737 has currently 14 % is available
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 95 %
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Critical
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on ECOMDEVWEBVS01 is : 94 %
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards
Athira KUmar",JDE CNC Technical, NODE ALERT: GJDEWEB04 has rebooted
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Alert: CPU Utilization in GJDEWEB01 is Critical	
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB04 is in a current state of: Down
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards
Athira Kumar",JDE CNC Technical, NODE ALERT: GJDEWEB07 has rebooted
Alert reset - issue detected as resolved by Orion.,Network Support,"Group Alert: Network Team Tickets: WAP - West Chester - AMER - 1475 Phoenixvil?le Pike Suite 100, West Chester, PA 19380, USA Down"
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: US-GOL-891-RAY-R01.wescoaircraft.com is Down
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: GJDEWEB08 has rebooted
issue resolved,Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	
Now the utilization is normal. Reset email generated. ,Linux Support,Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is warning
"Issue Identification: NODE Down ALERT: XA6501 is Down
Resolution:  Due to the server being in a hung state after reboot, it's up and running fine and accepting the connections. 
SolarWinds Confirmation (Yes/No):  Yes. ",Citrix Support,NODE Down ALERT: XA6501 is Down
"Issue Identification: NODE Down ALERT: XA6540 is Down
Resolution:  Due to the server being in a hung state after reboot, it's up and running fine and accepting the connections. 
SolarWinds Confirmation (Yes/No):  Yes. ",Citrix Support,NODE Down ALERT: XA6540 is Down
"all looks good
issue fixed",Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on GJDEWEB01 is Critical
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira Kumar",JDE CNC Technical, NODE ALERT: GJDEWEB01 has rebooted
"Hello all,

 

Web instances are working fine and CPU utilization is normal after restart .

QC passed successfully. I am resolving the incident now.

Please reopen the incident if further assistance is needed

 

Regards,

Athira kumar",JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Down
issue resolved,Windows Support,Critical ALERT:  A Baseline Services_Windows component  on GJDEWEB01 is in a current state of: Down
"Issue Identification: ALERT: DISK SPACE on XA6517-C:\ Label: 88E6AF70 has currently 19 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6517-C:\ Label: 88E6AF70 has currently 19 % is available
CPU utilization is normal now. Reset email generated.,Linux Support,Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical
"Resolution notes copied from Parent Incident: all looks good
issue fixed",Windows Support,Alert: CPU Utilization on G-OPTIOPD is Critical	
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down
"Application: Microsoft IIS 

Application Component: Application Pools(Not Running), Sites(Unknown), Site Bindings Monitor(Up), Worker Process Statistic Monitor (DefaultAppPool)(Not Running), Worker Process Statistic Monitor (moveitdmz ISAPI Pool)(Not Running), Worker Process Statistic Monitor (moveitdmz Pool)(Up), Total Connection Attempts(Up), Total Logon Attempts(Up), Current Connections(Up), Current Anonymous users(Up), Current NonAnonymous Users(Up), Total Connection Attempts (moveitdmz)(Up), Total Logon Attempts (moveitdmz)(Up), Current Connections (moveitdmz)(Up), Current Anonymous users (moveitdmz)(Up), Current NonAnonymous Users (moveitdmz)(Up), Total Bytes Received (moveitdmz)(Up), Total Bytes Sent (moveitdmz)(Up), Total Bytes Transferred (moveitdmz)(Up), HTTP Bindings Monitor (moveitdmz)(Up), SSL Certificate Monitor (moveitdmz)(Unknown), Site Directory Info Monitor (moveitdmz)(Up), Site Log Directory Monitor (moveitdmz)(Up), Windows Process Activation Service(Up), World Wide Web Publishing Service(Up), Application Host Helper Service(Up), IIS Event Log Monitor(Up), Current File Cache Memory Usage(Up), Output Cache Current Memory Usage(Up), File Cache Hits %(Up), Kernel: URI Cache Hits %(Up), Metadata Cache Hits %(Up), Output Cache Current Hits %(Up), URI Cache Hits %(Up), Active Requests (DefaultAppPool)(Up), Active Requests (moveitdmz Pool)(Up), Active Requests (moveitdmz ISAPI Pool)(Up), Requests / Sec (moveitdmz ISAPI Pool)(Up), Requests / Sec (moveitdmz Pool)(Up), Requests / Sec (DefaultAppPool)(Up), Active Threads Count (DefaultAppPool)(Up), Active Threads Count (moveitdmz Pool)(Up), Active Threads Count (moveitdmz ISAPI Pool)(Up), Current Worker Processes (moveitdmz ISAPI Pool)(Up), Current Worker Processes (moveitdmz Pool)(Up), Current Worker Processes (DefaultAppPool)(Up), Recent Worker Process Failures (DefaultAppPool)(Up), Recent Worker Process Failures (moveitdmz Pool)(Up), Recent Worker Process Failures (moveitdmz ISAPI Pool)(Up), Total Application Pool Recycles (moveitdmz ISAPI Pool)(Up), Total Application Pool Recycles (moveitdmz Pool)(Up), Total Application Pool Recycles (DefaultAppPool)(Up), Total Worker Process Failures (DefaultAppPool)(Up), Total Worker Process Failures (moveitdmz Pool)(Up), Total Worker Process Failures (moveitdmz ISAPI Pool)(Up), Total Worker Process Ping Failures (moveitdmz ISAPI Pool)(Up), Total Worker Process Ping Failures (moveitdmz Pool)(Up), Total Worker Process Ping Failures (DefaultAppPool)(Up), Total Worker Process Shutdown Failures (DefaultAppPool)(Up), Total Worker Process Shutdown Failures (moveitdmz Pool)(Up), Total Worker Process Shutdown Failures (moveitdmz ISAPI Pool)(Up), Total Worker Process Startup Failures (moveitdmz ISAPI Pool)(Up), Total Worker Process Startup Failures (moveitdmz Pool)(Up), Total Worker Process Startup Failures (DefaultAppPool)(Up), Current File Cache Memory Usage (DefaultAppPool)(Up), Current File Cache Memory Usage (moveitdmz Pool)(Up), Current File Cache Memory Usage (moveitdmz ISAPI Pool)(Up), Maximum File Cache Memory Usage (moveitdmz ISAPI Pool)(Up), Maximum File Cache Memory Usage (moveitdmz Pool)(Up), Maximum File Cache Memory Usage (DefaultAppPool)(Up), Output Cache Current Memory Usage (DefaultAppPool)(Up), Output Cache Current Memory Usage (moveitdmz Pool)(Up), Output Cache Current Memory Usage (moveitdmz ISAPI Pool)(Up), File Cache Hits (moveitdmz ISAPI Pool)(Up), File Cache Hits (moveitdmz Pool)(Up), File Cache Hits (DefaultAppPool)(Up), File Cache Misses (DefaultAppPool)(Up), File Cache Misses (moveitdmz Pool)(Up), File Cache Misses (moveitdmz ISAPI Pool)(Up), Metadata Cache Hits (moveitdmz ISAPI Pool)(Up), Metadata Cache Hits (moveitdmz Pool)(Up), Metadata Cache Hits (DefaultAppPool)(Up), Metadata Cache Misses (DefaultAppPool)(Up), Metadata Cache Misses (moveitdmz Pool)(Up), Metadata Cache Misses (moveitdmz ISAPI Pool)(Up), Output Cache Total Hits (moveitdmz ISAPI Pool)(Up), Output Cache Total Hits (moveitdmz Pool)(Up), Output Cache Total Hits (DefaultAppPool)(Up), Output Cache Total Misses (DefaultAppPool)(Up), Output Cache Total Misses (moveitdmz Pool)(Up), Output Cache Total Misses (moveitdmz ISAPI Pool)(Up), URI Cache Hits (moveitdmz ISAPI Pool)(Up), URI Cache Hits (moveitdmz Pool)(Up), URI Cache Hits (DefaultAppPool)(Up), URI Cache Misses (DefaultAppPool)(Up), URI Cache Misses (moveitdmz Pool)(Up), URI Cache Misses (moveitdmz ISAPI Pool)(Up), Total Method Requests (moveitdmz)(Up), Delete Requests (moveitdmz)(Up), Get Requests (moveitdmz)(Up), Head Requests (moveitdmz)(Up), CGI Requests (moveitdmz)(Up), ISAPI Extension Requests (moveitdmz)(Up), Put Requests (moveitdmz)(Up), Post Requests (moveitdmz)(Up), Files Received (moveitdmz)(Up), Files Sent (moveitdmz)(Up), Files Transferred (moveitdmz)(Up), Locked Errors (moveitdmz)(Up), Not Found Errors (moveitdmz)(Up), Request Execution Time(Up), Request Wait Time(Up), Requests Queued(Up), Requests Rejected(Up) 

Application State: Unknown

Node: G-MOVEITT1

Node Description: Windows 2019 Server
",Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down
"Issue Identification: ALERT: DISK SPACE on XA6521-C:\ Label: 88E6AF70 has currently 17 % is available
Resolution: Alert reset - issue detected as resolved by Orion, After the post schedule reboot the space is cleared. 
SolarWinds Confirmation (Yes/No):  Yes",Citrix Support,ALERT: DISK SPACE on XA6521-C:\ Label: 88E6AF70 has currently 17 % is available
"Issue Identification: Memory Utilization on GBVVSMS4 is : 99 %
Resolution: Alert reset - issue detected as resolved by Orion, After the cleared the unused sessions it's come down. 
SolarWinds Confirmation (Yes/No):  Yes",Windows Support,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: IN-BAN-2960S-S01.wescoaircraft.com is Down
Alert reset - issue detected as resolved by Orion.,Network Support,TIER 3 - Critical Device Down: IN-BAN-2921-R01.wescoaircraft.com is Down
